submissiondate	today	tabletid	duration	a_area	respondent_id	a_village	a_agree	durationintro	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	c_charcoalfreq	c_charcoalseller	c_charcoalseller_2	c_charcoalseller_3	c_charcoalseller_4	c_charcoalseller_5	c_charcoalseller_6	c_charcoalseller_7	c_charcoalseller_12	c_charcoalseller_8	c_charcoalseller_9	c_charcoalseller_11	c_charcoalseller_13	c_charcoalseller_97	c_charcoalseller_96	c_charcoalseller_other	c_charcoalbought	c_charcoalbought_2	c_charcoalbought_3	c_charcoalbought_4	c_charcoalbought_5	c_charcoalbought_6	c_charcoalbought_7	c_charcoalbought_12	c_charcoalbought_8	c_charcoalbought_9	c_charcoalbought_11	c_charcoalbought_13	c_charcoalbought_97	c_charcoalbought_96	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymore_1	c_buymore_2	c_buymore_3	c_buymore_4	c_buymore_5	c_buymore_6	c_buymore_7	c_buymore_8	c_buymore_97	c_buymore_96	c_buymoreother	c_cookstoveprice	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	b_rent	b_occupationself	b_occupationself_96	b_occupationself_1	b_occupationself_7	b_occupationself_33	b_occupationself_81	b_occupationself_82	b_occupationself_83	b_occupationself_84	b_occupationself_8	b_occupationself_9	b_occupationself_10	b_occupationself_32	b_occupationself_11	b_occupationself_12	b_occupationself_13	b_occupationself_14	b_occupationself_15	b_occupationself_16	b_occupationself_17	b_occupationself_18	b_occupationself_19	b_occupationself_199	b_occupationself_20	b_occupationself_21	b_occupationself_22	b_occupationself_23	b_occupationself_71	b_occupationself_72	b_occupationself_73	b_occupationself_74	b_occupationself_75	b_occupationself_79	b_occupationself_24	b_occupationself_25	b_occupationself_26	b_occupationself_27	b_occupationself_28	b_occupationself_29	b_occupationself_30	b_occupationself_31	b_occupationself_2	b_occupationself_3	b_occupationself_4	b_occupationself_5	b_occupationself_6	b_occupationself_61	b_occupationself_99	b_occupationself_50	b_occupationself_97	b_incomeself	b_occupationothers	b_occupationothers_96	b_occupationothers_1	b_occupationothers_7	b_occupationothers_33	b_occupationothers_81	b_occupationothers_82	b_occupationothers_83	b_occupationothers_84	b_occupationothers_8	b_occupationothers_9	b_occupationothers_10	b_occupationothers_32	b_occupationothers_11	b_occupationothers_12	b_occupationothers_13	b_occupationothers_14	b_occupationothers_15	b_occupationothers_16	b_occupationothers_17	b_occupationothers_18	b_occupationothers_19	b_occupationothers_199	b_occupationothers_20	b_occupationothers_21	b_occupationothers_22	b_occupationothers_23	b_occupationothers_71	b_occupationothers_72	b_occupationothers_73	b_occupationothers_74	b_occupationothers_75	b_occupationothers_79	b_occupationothers_24	b_occupationothers_25	b_occupationothers_26	b_occupationothers_27	b_occupationothers_28	b_occupationothers_29	b_occupationothers_30	b_occupationothers_31	b_occupationothers_2	b_occupationothers_3	b_occupationothers_4	b_occupationothers_5	b_occupationothers_6	b_occupationothers_61	b_occupationothers_99	b_occupationothers_50	b_occupationothers_97	b_incomeothers	b_bigpurchase	b_bigpurchase_0	b_bigpurchase_1	b_bigpurchase_11	b_bigpurchase_2	b_bigpurchase_31	b_bigpurchase_32	b_bigpurchase_33	b_bigpurchase_4	b_bigpurchase_5	b_bigpurchase_6	b_bigpurchase_7	b_bigpurchase_8	b_bigpurchase_96	b_bigpurchase_97	g1a	g1a2	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g1d	g1d_1	g1d_2	g1d_3	g1d_4	g1d_5	g1d_6	g1d_96	g1e	g1e_1	g1e_2	g1e_3	g1e_4	g1e_5	g1e_6	g1e_96	g1f	g1g1	g1g	g1h	g1i	g2d	g2d_1	g2d_2	g2d_3	g2d_4	g2d_5	g2d_6	g2d_7	g2d_8	g2d_9	g2d_10	g2d_97	g2g	g2g_1	g2g_2	g2g_3	g2g_4	g2g_97	g2h	g2h_1	g2h_2	g2h_3	g2h_4	g2h_5	g2h_6	g2h_7	g2h_8	g2h_9	g2h_10	g2h_97	g2i	g2i_1	g2i_2	g2i_3	g2i_4	g2i_5	g2i_6	g2i_7	g2i_8	g2i_9	g2i_10	g2i_97	g2a	g2b	g2b2	g2c	g2e	g2f	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	durationsurvey	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	d_awareness	d_awareness_0	d_awareness_20	d_awareness_21	d_awareness_22	d_awareness_3	d_awareness_4	d_awareness_5	d_awareness_6	d_awareness_7	d_awareness_8	d_awareness_9	d_awareness_10	d_awareness_97	d_bestthings	d_bestthings_1	d_bestthings_2	d_bestthings_3	d_bestthings_4	d_bestthings_5	d_bestthings_6	d_bestthings_7	d_bestthings_97	d_bestthings_99	d_otherthings	d_taste	d_tastetext	d_jikokoalast	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	d_beanmax	d_beanmin	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	beans_no20	durationbeliefs	prac_decisions1	prac_decisions2	prac_decisions3	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	g_invest	g_outcome	fixed	win	totallose	totalwin	comment_risk	durationrisk	numbersame	durationtotal	instanceid	formdef_version	key
"Apr 24, 2019 5:19:04 PM"	"Apr 24, 2019"	"3.55532E+14"	3475	"Mukuru"	"878099d"	"MilimaniAandB"	1	51	1		150	44	1	4	2	3	1	""	1	1	1	0	1	0	1	1	0		420	420		200		200				50			50	30	1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	50	150	"2"	0	1	0	0	0	0	0	0	0	0	""	300	2017	3	0	2	""	1500	"199"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	"24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	"0 6"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	"3"	0	0	1	0	0	"1"	1	0	0	0	0	0	0	"96"	0	0	0	0	0	0	1	2	3000	5	5	5	"1"	1	0	0	0	0	0	0	0	0	0	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	2000	1500		2000		4	0	8	0	0	0	1286	105	208	123.5	-999	-999	-999	-999	-999	""	1483	"6"	0	0	0	0	0	0	0	1	0	0	0	0	0	"5"	0	0	0	0	1	0	0	0	0	""	5	""	52	1	1	2	1	1	1	5	3	2	5	30	13440	7200						15	1	1	1	1	1										0	0	0	0	0	15	1	1	1	1	1	0	0	0	0	0	0	0	0	0	20		2154	1	9	13	13	13	11	11	11	3050	100	1	300	300	400	700		3203	1	3472	"uuid:a814a850-a504-40b6-a24d-4c7efc8febee"	1904231931	"uuid:a814a850-a504-40b6-a24d-4c7efc8febee"
"Apr 24, 2019 5:19:05 PM"	"Apr 24, 2019"	"3.55532E+14"	4732	"Mukuru"	"8f1c45e"	"MilimaniAandB"	1	20	1		243	10	1	3	1	3	1	""	1	0	0	0	0	0	1	0	0		500	500											75		1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	70	1	50	70	"4"	0	0	0	1	0	0	0	0	0	0	""	300	2019	1	4	2	""	1500	"11"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	"3"	0	0	1	0	0	"96"	0	0	0	0	0	0	1	"3"	0	0	1	0	0	0	0	3	1000	4	2	2	""												"1 2"	1	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0	1000	5000				6	0	0	6	0	0	1462	105	208	123.5	1734	3330	443.3	905	-999	""	2434	"9"	0	0	0	0	0	0	0	0	0	0	1	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	104	0	0	0	0	0	0	2	4	1	5	300	110100	73400																				20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20		2944	1	7	9	9	9	1	9	7	3844	200	1	200	600	300	900		4341	4	4727	"uuid:2ae3aaad-9516-42ee-9d7a-5eec2fc531f4"	1904231931	"uuid:2ae3aaad-9516-42ee-9d7a-5eec2fc531f4"
"Apr 24, 2019 5:19:05 PM"	"Apr 24, 2019"	"3.55532E+14"	5515	"Mukuru"	"502a4ef"	"MilimaniAandB"	1	328	1		431	3	0	6	4	3	1	""	1	0	0	0	0	0	1	1	0		700	700											100	30	1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	70	100	"2 6"	0	1	0	0	0	1	0	0	0	0	""	300	2018	8	28	1	""	2000	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	"8"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	"96"	0	0	0	1	0	"3"	0	0	1	0	0	0	0	"3"	0	0	1	0	0	0	0	2	-999	5	5	4	"6"	0	0	0	0	0	1	0	0	0	0	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	-99					3000	2	4	1	3	2	0	2066	105	208	1011.75	-999	-999	-999	-999	-999	""	2616	"7"	0	0	0	0	0	0	0	0	1	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	104	1	0	3	1	0	0	2	1	1	5	400	18350	7340						8	0	0	0	0	0	0	0	0	12						0	0	0	0	0	8	0	0	0	0	0	0	0	0	12	0	0	0	0	0	20		3595	11	9	21	21	9	11	11	9	4621	100	1	300	300	400	700		4989	1	5510	"uuid:cf95dc64-333a-4b86-98e4-3befa40b6c01"	1904231931	"uuid:cf95dc64-333a-4b86-98e4-3befa40b6c01"
"Apr 24, 2019 4:25:06 PM"	"Apr 24, 2019"	"3.56213E+14"	4500	"Mukuru"	"ece0a7f"	"VietnamAandB"	1	19	1		76	42	0	4	2	3	1	""	1	0	0	0	1	0	1	0	0		450	450								20			100		5	"9"	0	0	0	0	0	0	0	0	1	0	0	0	0	""	"9"	0	0	0	0	0	0	0	0	1	0	0	0	0	450	3	350	450	"2 6 8"	0	1	0	0	0	1	0	1	0	0	""	400	2016	8	52	1	""	1800	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	"0"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	"96"	0	0	0	1	0	"1"	1	0	0	0	0	0	0	"96"	0	0	0	0	0	0	1	1	4000	5	5	4	"6"	0	0	0	0	0	1	0	0	0	0	0	""						""												"6"	0	0	0	0	0	1	0	0	0	0	0	0				12000		1	1	3	3	3	1	950	108	280	1811.95	21498	7880	186	10	113.3	""	2905	"20 3 4 5 6 7 10"	0	1	0	0	1	1	1	1	1	0	0	1	0	"1 3 4 5 7"	1	0	1	1	1	0	1	0	0	""	5	""	260	1	1	0	1	1	0	5	5	4	1	0	10800	8000							6	6	8												0	0	0	0	0	0	6	6	8	0	0	0	0	0	0	0	0	0	0	0	20		2660	5	8	10	4	6	10	13	19	4116	200	0	200	600	300	900		4227	1	4498	"uuid:5174c861-66cc-487f-8d23-139ef72fd98b"	1904231931	"uuid:5174c861-66cc-487f-8d23-139ef72fd98b"
"Apr 24, 2019 4:25:10 PM"	"Apr 24, 2019"	"3.56213E+14"	2816	"Mukuru"	"cac5ac7"	"VietnamAandB"	1	16	1		64	44	0	2	0	3	1	""	1	0	0	0	1	0	1	0	0		420	420								10			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	60	1	60	70	"3 4"	0	0	1	1	0	0	0	0	0	0	""	250	2018	6	52	1	""	1700	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	"50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"32"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	2	0	5	5	4	""												"2 4"	0	1	0	1	0	"1 6"	1	0	0	0	0	1	0	0	0	0	0	"1 6"	1	0	0	0	0	1	0	0	0	0	0	50						3	1	4	0	2	2	820	105	208	1011.75	6.3	135.6	450	1020	765	""	1078	"4 6 10"	0	0	0	0	0	1	0	1	0	0	0	1	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3	""	156	0	0	0				4	4	4	2	0	10920	10000									20												0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	20		1749	9	5	3	1	21	18	16	21	2396	200	0	200	600	300	900		2569	1	2811	"uuid:894e2b09-a98a-4bc1-a52c-7231a6d2d761"	1904231931	"uuid:894e2b09-a98a-4bc1-a52c-7231a6d2d761"
"Apr 24, 2019 4:25:12 PM"	"Apr 24, 2019"	"3.56213E+14"	3724	"Mukuru"	"807408a"	"VietnamAandB"	1	16	1		43	3	0	6	4	3	1	""	1	0	0	0	0	0	1	0	0		300	300											100		5	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	300	3	300	350	"2 6 8"	0	1	0	0	0	1	0	1	0	0	""	350	2019	1	156	1	""	2000	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	"0 31 6 8"	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	"1"	1	0	0	0	0	"1"	1	0	0	0	0	0	0	"96"	0	0	0	0	0	0	1	1	800	4	2	1	"4 6"	0	0	0	1	0	1	0	0	0	0	0	""						""												"4 6"	0	0	0	1	0	1	0	0	0	0	0	0	80	2500		800		2	4	3	0	3	0	950	105	208	956.1	1468	1348.3	3150	92250	54789	""	1006	"4 10"	0	0	0	0	0	1	0	0	0	0	0	1	0	"1 3 5 6 7"	1	0	1	0	1	1	1	0	0	""	3	""	260	0	0	0	0	0	0	4	4	4	1	0	7800	6500						5	15														0	0	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2635	13	10	4	8	5	6	8	11	3246	200	1	200	600	300	900		3465	1	3722	"uuid:9edd43c1-1b73-43ad-85cb-3ecfe01ce957"	1904231931	"uuid:9edd43c1-1b73-43ad-85cb-3ecfe01ce957"
"Apr 24, 2019 2:28:15 PM"	"Apr 24, 2019"	"8.68912E+14"	2915	"Mukuru"	"5fbf64c"	"MilimaniAandB"	1	82	1		113	44	0	6	4	3	1	""	1	1	0	0	1	0	1	0	0		350	350		350						70			76		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	50	1	50	100	"4"	0	0	0	1	0	0	0	0	0	0	""	300	2018	1	4	1	""	3000	"6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	300	"75"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	"3"	0	0	1	0	0	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	-999	4	2	2	"1"	1	0	0	0	0	0	0	0	0	0	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	4000	8000				1	1	1	1	7	1	1147	105	205	123.5	2094	555	450	935	913.75	""	1329	"3 7"	0	0	0	0	1	0	0	0	1	0	0	0	0	"1 4"	1	0	0	1	0	0	0	0	0	""	4	""	104	0	0	0	0	0	0	3	3	2	1	-999	9150	7950							8	12													0	0	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	20		1868	12	7	14	14	14	14	15	14	2368	100	1	300	300	400	700		2550	1	2912	"uuid:88a1fa61-8bc7-474d-bc84-5d19db6e3707"	1904231931	"uuid:88a1fa61-8bc7-474d-bc84-5d19db6e3707"
"Apr 24, 2019 2:28:16 PM"	"Apr 24, 2019"	"8.68912E+14"	2739	"Mukuru"	"c826d38"	"MilimaniAandB"	1	20	1		177	96	0	6	5	3	1	""	1	1	0	0	1	0	1	1	0		560	560		350						30			75	20	2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	80	80	"97"	0	0	0	0	0	0	0	0	1	0	""	200	2019	1	0	5	""	2000	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	"50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"4"	0	0	0	1	0	0	0	3	-999	4	5	5	""												"2"	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0						3	0	2	0	5	2	1030	105	208	1011.75	1468	-999	-999	35.3	63.75	""	1869	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	208	0	1	24	0	0	0	4	4	4	1	300	13400	11000									10	6	4										0	0	0	0	0	0	0	0	10	6	4	0	0	0	0	0	0	0	0	0	20		1839	4	8	9	3	1	14	5	9	2203	0	1	400	0	500	500		2352	2	2737	"uuid:2da5a3a5-b632-4885-b772-e1c6ca82721d"	1904231931	"uuid:2da5a3a5-b632-4885-b772-e1c6ca82721d"
"Apr 24, 2019 2:28:17 PM"	"Apr 24, 2019"	"8.68912E+14"	3662	"Mukuru"	"cf05dbd"	"MilimaniAandB"	1	68	1		128	37	0	6	4	3	1	""	1	1	1	0	1	0	1	0	0		420	420		100		450				60			125		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	50	150	"6 7 8"	0	0	0	0	0	1	1	1	0	0	""	350	2016	12	52	1	""	1500	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	"17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	98	"3"	0	0	1	0	1	"6"	0	0	0	0	0	1	0	"3"	0	0	1	0	0	0	0	2	-999	5	5	4	"1"	1	0	0	0	0	0	0	0	0	0	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1 6"	1	0	0	0	0	1	0	0	0	0	0	1000	500	600	0			1	1	1	1	7	1	314	105	208	1235	2094	1665	450	935	913.75	""	314	"97"	0	0	0	0	0	0	0	0	0	0	0	0	1	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	104	1	1	36	1	0	24	3	3	3	1	200	13000	10000									4	4	12										0	0	0	0	0	0	0	0	4	4	12	0	0	0	0	0	0	0	0	0	20		314	10	8	11	1	1	1	1	1	314	0	1	400	0	500	500		314	1	3659	"uuid:403f46d3-e914-458e-a396-5b65117acc07"	1904231931	"uuid:403f46d3-e914-458e-a396-5b65117acc07"
"Apr 24, 2019 2:53:36 PM"	"Apr 24, 2019"	"8.68912E+14"	3859	"Mukuru"	"2dfcb10"	"MilimaniAandB"	1	91	1		171	44	0	8	6	3	1	""	1	1	0	0	0	0	1	0	0		600	600		20									80		1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	30	2	20	30	"8"	0	0	0	0	0	0	0	1	0	0	""	250	2017	8	24	1	""	2000	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	"17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"3"	0	0	1	0	1	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	2500	5	4	4	"6"	0	0	0	0	0	1	0	0	0	0	0	""						"6"	0	0	0	0	0	1	0	0	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0	0	3500	5000	90			2	1	3	2	3	1	1085	105	208	1235	2094	1665	405	935	637.5	""	1746	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	156	0	0	0	0	0	0	2	2	1	3	0	16200	8000							0	0	0	0	0	0	20								0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	20		2346	10	6	16	10	13	3	16	20	2629	200	1	200	600	300	900		3398	1	3857	"uuid:38a047c6-c39a-44d6-a285-2685bae88cce"	1904172137	"uuid:38a047c6-c39a-44d6-a285-2685bae88cce"
