submissiondate	today	tabletid	duration	a_area	respondent_id	a_village	a_agree	durationintro	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	c_charcoalfreq	c_charcoalseller	c_charcoalseller_2	c_charcoalseller_3	c_charcoalseller_4	c_charcoalseller_5	c_charcoalseller_6	c_charcoalseller_7	c_charcoalseller_12	c_charcoalseller_8	c_charcoalseller_9	c_charcoalseller_11	c_charcoalseller_13	c_charcoalseller_97	c_charcoalseller_96	c_charcoalseller_other	c_charcoalbought	c_charcoalbought_2	c_charcoalbought_3	c_charcoalbought_4	c_charcoalbought_5	c_charcoalbought_6	c_charcoalbought_7	c_charcoalbought_12	c_charcoalbought_8	c_charcoalbought_9	c_charcoalbought_11	c_charcoalbought_13	c_charcoalbought_97	c_charcoalbought_96	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymore_1	c_buymore_2	c_buymore_3	c_buymore_4	c_buymore_5	c_buymore_6	c_buymore_7	c_buymore_8	c_buymore_97	c_buymore_96	c_buymoreother	c_cookstoveprice	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	b_rent	b_occupationself	b_occupationself_96	b_occupationself_1	b_occupationself_7	b_occupationself_33	b_occupationself_81	b_occupationself_82	b_occupationself_83	b_occupationself_84	b_occupationself_8	b_occupationself_9	b_occupationself_10	b_occupationself_32	b_occupationself_11	b_occupationself_12	b_occupationself_13	b_occupationself_14	b_occupationself_15	b_occupationself_16	b_occupationself_17	b_occupationself_18	b_occupationself_19	b_occupationself_199	b_occupationself_20	b_occupationself_21	b_occupationself_22	b_occupationself_23	b_occupationself_71	b_occupationself_72	b_occupationself_73	b_occupationself_74	b_occupationself_75	b_occupationself_79	b_occupationself_24	b_occupationself_25	b_occupationself_26	b_occupationself_27	b_occupationself_28	b_occupationself_29	b_occupationself_30	b_occupationself_31	b_occupationself_2	b_occupationself_3	b_occupationself_4	b_occupationself_5	b_occupationself_6	b_occupationself_61	b_occupationself_99	b_occupationself_50	b_occupationself_97	b_incomeself	b_occupationothers	b_occupationothers_96	b_occupationothers_1	b_occupationothers_7	b_occupationothers_33	b_occupationothers_81	b_occupationothers_82	b_occupationothers_83	b_occupationothers_84	b_occupationothers_8	b_occupationothers_9	b_occupationothers_10	b_occupationothers_32	b_occupationothers_11	b_occupationothers_12	b_occupationothers_13	b_occupationothers_14	b_occupationothers_15	b_occupationothers_16	b_occupationothers_17	b_occupationothers_18	b_occupationothers_19	b_occupationothers_199	b_occupationothers_20	b_occupationothers_21	b_occupationothers_22	b_occupationothers_23	b_occupationothers_71	b_occupationothers_72	b_occupationothers_73	b_occupationothers_74	b_occupationothers_75	b_occupationothers_79	b_occupationothers_24	b_occupationothers_25	b_occupationothers_26	b_occupationothers_27	b_occupationothers_28	b_occupationothers_29	b_occupationothers_30	b_occupationothers_31	b_occupationothers_2	b_occupationothers_3	b_occupationothers_4	b_occupationothers_5	b_occupationothers_6	b_occupationothers_61	b_occupationothers_99	b_occupationothers_50	b_occupationothers_97	b_incomeothers	b_bigpurchase	b_bigpurchase_0	b_bigpurchase_1	b_bigpurchase_11	b_bigpurchase_2	b_bigpurchase_31	b_bigpurchase_32	b_bigpurchase_33	b_bigpurchase_4	b_bigpurchase_5	b_bigpurchase_6	b_bigpurchase_7	b_bigpurchase_8	b_bigpurchase_96	b_bigpurchase_97	g1a	g1a2	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g1d	g1d_1	g1d_2	g1d_3	g1d_4	g1d_5	g1d_6	g1d_96	g1e	g1e_1	g1e_2	g1e_3	g1e_4	g1e_5	g1e_6	g1e_96	g1f	g1g1	g1g	g1h	g1i	g2d	g2d_1	g2d_2	g2d_3	g2d_4	g2d_5	g2d_6	g2d_7	g2d_8	g2d_9	g2d_10	g2d_97	g2g	g2g_1	g2g_2	g2g_3	g2g_4	g2g_97	g2h	g2h_1	g2h_2	g2h_3	g2h_4	g2h_5	g2h_6	g2h_7	g2h_8	g2h_9	g2h_10	g2h_97	g2i	g2i_1	g2i_2	g2i_3	g2i_4	g2i_5	g2i_6	g2i_7	g2i_8	g2i_9	g2i_10	g2i_97	g2a	g2b	g2b2	g2c	g2e	g2f	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	durationsurvey	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	d_awareness	d_awareness_0	d_awareness_20	d_awareness_21	d_awareness_22	d_awareness_3	d_awareness_4	d_awareness_5	d_awareness_6	d_awareness_7	d_awareness_8	d_awareness_9	d_awareness_10	d_awareness_97	d_bestthings	d_bestthings_1	d_bestthings_2	d_bestthings_3	d_bestthings_4	d_bestthings_5	d_bestthings_6	d_bestthings_7	d_bestthings_97	d_bestthings_99	d_otherthings	d_taste	d_tastetext	d_jikokoalast	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	d_beanmax	d_beanmin	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	beans_no20	durationbeliefs	prac_decisions1	prac_decisions2	prac_decisions3	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	g_invest	g_outcome	fixed	win	totallose	totalwin	comment_risk	durationrisk	numbersame	durationtotal	instanceid	formdef_version	key
"07/05/2019 10:56"	"07-May-19"	"8.65566E+14"	4618	"Mathare"	"0675ee8"	"3C"	1	1020	1		1114	3	0	4	3	3	1	""	1	0	0	0	0	0	1	0	0	""	700	700											50		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	50	1	30	50	"1 2 6"	1	1	0	0	0	1	0	0	0	0	""	250	2018	98	6	1	""	1500	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"3"	0	0	1	0	1	"1"	1	0	0	0	0	0	0	"96"	0	0	0	0	0	0	1	2	0	5	5	5	"1"	1	0	0	0	0	0	0	0	0	0	0							"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	3000	4000	0	3000		0	0	2	0	10	0	1283	105	208	62700	10470	13650	2200	2250	2125	""	1283	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	104	0	0	0	0	0	0	3	3	1	1	50	18250	0	1	2	0	1	1	1	1	1	1	1	1	4	0	5	0						1	2	0	1	1	1	1	1	1	1	1	4	0	5	0	0	0	0	0	0	20		1283		3		14	7	14	17	8	1283	200	1	200	600	300	900	""	1283	1	1285	"uuid:6b657aab-5ab1-42d5-b89b-fd8f1adcc42b"	1905070922	"uuid:6b657aab-5ab1-42d5-b89b-fd8f1adcc42b"
"07/05/2019 11:20"	"07-May-19"	"3.5757E+14"	3496	"Mathare"	"fe691c8"	"3A"	1	34	1		251	36	0	6	4	3	1	""	1	1	0	0	1	0	1	0	0	""	350	350		150						70			50		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	50	1	30	50	"8"	0	0	0	0	0	0	0	1	0	0	""	250	2018	2	52	0	""	2500	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	2	1000	4	4	4	""												2	0	1	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0	"4 6"	0	0	0	1	0	1	0	0	0	0	0	0						0	0	0	12	0	0	1685	1000	500	100	300	3000	600	700	1000	""	1923	"3 7"	0	0	0	0	1	0	0	0	1	0	0	0	0	"1 7"	1	0	0	0	0	0	1	0	0	""	5	""	104	0	0	0	1	1	2	4	4	4	1	500	4000	0	20	0	0	0																	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2627	18	4	18	18	4	20	14	17	3246	100	1	300	300	400	700	""	3392	1	3493	"uuid:baa2ad6a-63fd-4dd6-88a1-9d889c030feb"	1905070922	"uuid:baa2ad6a-63fd-4dd6-88a1-9d889c030feb"
"07/05/2019 12:36"	"07-May-19"	"8.65566E+14"	5772	"Mathare"	"edb7909"	"3C"	1	14	1		208	43	0	6	4	3	1	""	1	0	0	0	0	0	1	0	0	""	1050	1050											75		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	100	100	"1 2 4 5 6 7 8"	1	1	0	1	1	1	1	1	0	0	""	300	2018	3	24	1	""	1500	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"3"	0	0	1	0	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	0	5	5	5	""												2	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0	200	400				3	1	2	1	4	1	1217	105	208	1011.75	2094	1831.67	-999	-999	-999	""	2868	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	4	""	52	1	1	0	1	1	0	5	5	1	1	75	27375	0	0	0	0	0	0	0	0	0	5	0	0	3	4	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	4	0	1	7	0	0	0	0	20		3381				14	14	14	14	12	5202	100	1	300	300	400	700	""	5522	2	5771	"uuid:6b9b43cc-9ae2-454b-8790-9fb21882c5fc"	1905070922	"uuid:6b9b43cc-9ae2-454b-8790-9fb21882c5fc"
"07/05/2019 13:27"	"07-May-19"	"8.65566E+14"	2577	"Mathare"	"16c9248"	"3C"	1	35	1		239	33	0	3	1	3	1	""	1	0	0	0	0	0	1	0	0	""	350	350											75		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	50	1	50	50	"2 6"	0	1	0	0	0	1	0	0	0	0	""	250	2017	98	104	1	""	1500	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.338	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428.57	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	3	0	5	5	5	""												2	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	0						2	2	2	0	4	2	1002	-999	-999	-999	-999	-999	-999	-999	-999	""	1067	"9"	0	0	0	0	0	0	0	0	0	0	1	0	0	"1"	1	0	0	0	0	0	0	0	0	""	5	""	52	0	0	0	0	0	0	5	5	1	1	25	3650	0	0	10	10																		0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		1354				1	3	4	8	6	1921	0	0	400	0	500	500	""	2200	1	2576	"uuid:9b9e6347-bdaf-4090-b7e6-727abd143215"	1905070922	"uuid:9b9e6347-bdaf-4090-b7e6-727abd143215"
"07/05/2019 13:29"	"07-May-19"	"3.5757E+14"	2340	"Mathare"	"86d61ef"	"3A"	1	23	1		98	44	0	4	2	3	1	""	1	1	0	0	1	0	1	1	0	""	980	980		50						70			50	70	1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	70	1	60	80	"2 4 5"	0	1	0	1	1	0	0	0	0	0	""	350	2019	1	16	1	""	3500	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	"6 8"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	"1"	1	0	0	0	0	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	-999	4	4	4	"3 6"	0	0	1	0	0	1	0	0	0	0	0							"3 6"	0	0	1	0	0	1	0	0	0	0	0	"3 6"	0	0	1	0	0	1	0	0	0	0	0	10	4000	5000				0	0	4	5	3	0	1459	105	208	62.6525	1330	6330	26.4288	8500	6395	""	1595	"3 10"	0	0	0	0	1	0	0	0	0	0	0	1	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	52	1	1	2	0	0	0	4	4	4	1	0	5000	0	10	4	3	3																	10	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2095	21	21	19	19	21	21	20	21	2258	0	0	400	0	500	500	""	2286	1	2330	"uuid:e40e5a69-8f2b-485d-b3e7-c9e1798046f0"	1905070922	"uuid:e40e5a69-8f2b-485d-b3e7-c9e1798046f0"
"07/05/2019 13:32"	"07-May-19"	"3.5757E+14"	2325	"Mathare"	"68accf6"	"3A"	1	23	1		67	36	0	5	3	3	1	""	1	1	0	0	1	0	1	1	0	""	660	660		20						50			50	70	1	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	110	1	60	110	"4 5"	0	0	0	1	1	0	0	0	0	0	""	300	2019	2	52	1	""	1500	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"32 7 8"	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	"96"	0	0	0	1	0	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	6000	4	4	4	"6"	0	0	0	0	0	1	0	0	0	0	0							"1 6"	1	0	0	0	0	1	0	0	0	0	0	"1 6"	1	0	0	0	0	1	0	0	0	0	0	0						4	3	1	1	2	1	1483	105	208	123.5	1660	3.33	1360	1	85	""	1654	"3 9"	0	0	0	0	1	0	0	0	0	0	1	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	104	1	1	1	1	1	1	4	4	4	2	600	7000	0	10	3	2	1	2	2															10	3	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		1979			20	21	17	19	12	15	2209	0	0	400	0	500	500	""	2229	1	2323	"uuid:ebee7bde-2cf5-4884-814a-5dbea962f946"	1905070922	"uuid:ebee7bde-2cf5-4884-814a-5dbea962f946"
"07/05/2019 13:40"	"07-May-19"	"3.56213E+14"	6063	"Mathare"	"9be219a"	"Area3"	1	601	1		696	44	0	3	1	3	1	""	1	1	0	0	0	0	1	0	0	""	2240	2240		150									75		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	80	80	"2 5 6"	0	1	0	0	1	1	0	0	0	0	"The price is ever constant."	350	2018	1	8	2	"Though it depends with the care you give it."	5000	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	"1 3"	1	0	1	0	1	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	1000	2	1	1	"8 97"	0	0	0	0	0	0	0	1	0	0	1							"10"	0	0	0	0	0	0	0	0	0	1	0	"1"	1	0	0	0	0	0	0	0	0	0	0	8000	11200	44800	110000			1	1	3	0	5	2	3379	105	208	123.5	8030	0	0	0	0	"Respondent find it difficult with the word equations."	3794	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5 7"	1	0	0	0	1	0	1	0	0	"You can cook with it within the house"	3	""	260	0	0	0	0	0	0	4	2	4	1	160	41600	0	0	0	0	2	2	3	4	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	4	3	5	1	0	0	0	0	0	0	0	0	0	0	20		4983	19	15	19	19	19	20	20	13	5204	400	1	0	1200	100	1300	"None"	5339	1	6061	"uuid:2d9a2a62-53f3-4cbe-bd08-9ab396f5c3e9"	1904300329	"uuid:2d9a2a62-53f3-4cbe-bd08-9ab396f5c3e9"
"07/05/2019 13:40"	"07-May-19"	"3.56213E+14"	4561	"Mathare"	"487a6e5"	"Area3"	1	610	1		643	10	0	4	2	3	1	"Kerosene"	1	1	0	0	0	0	1	0	0	""	320	320		70									125		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	2	80	80	"2 6 97"	0	1	0	0	0	1	0	0	1	0	"Visits from church members"	500	2018	6	3	2	""	5000	96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"8"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	"3"	0	0	1	0	1	"2"	0	1	0	0	0	0	0	"2"	0	1	0	0	0	0	0	3	300	5	4	2	"97"	0	0	0	0	0	0	0	0	0	0	1							""												"1"	1	0	0	0	0	0	0	0	0	0	0	0	200	800	0	0		2	1	3	1	4	1	2357	105	208	1011.75	2094	1665	380	935	913.75	"Did the sums with the given time and was very comfortable with it."	3175	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5 6 7"	1	0	0	0	1	1	1	0	0	""	5	""	156	0	0	0	1	1	2	5	5	5	1	80	7800	0	0	0	0	0	4	6	10														0	0	0	0	4	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	20		3685	14	9	7	7	9	10	16	15	4190	200	1	200	600	300	900	"None"	4284	1	4560	"uuid:9a9e5109-d52b-4ac7-896e-f674d6f7bcf2"	1905070922	"uuid:9a9e5109-d52b-4ac7-896e-f674d6f7bcf2"
"07/05/2019 13:40"	"07-May-19"	"3.56213E+14"	3725	"Mathare"	"bf3876d"	"Area3"	1	501	1		566	44	0	5	3	3	1	"Kerosene on rare occasions"	1	0	0	0	0	0	1	0	0	""	320	320											125		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	80	80	"2 5 6"	0	1	0	0	1	1	0	0	0	0	"The price of charcoal has been constant."	300	2018	4	8	1	""	3500	82	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	330	"7 8"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	"3"	0	0	1	0	1	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	0	4	2	1	""												97	0	0	0	0	1	""												"1"	1	0	0	0	0	0	0	0	0	0	0	700	900	3660	20000			2	0	6	0	4	0	2181	105	208	0	0	0	0	0	0	"The respondent could not continue with the maths exercise."	2418	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3	""	260	0	0	0	0	0	0	5	4	4	3	80	7800	0	0	0	0	5	3	2	10														0	0	0	5	3	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2775	14	11	9	14	14	14	14	14	2866	300	0	100	900	200	1100	"None"	2945	1	3723	"uuid:a084f168-dffd-4c76-b0dc-32b0ed042eb9"	1905070922	"uuid:a084f168-dffd-4c76-b0dc-32b0ed042eb9"
"07/05/2019 14:32"	"07-May-19"	"8.68912E+14"	4845	"Mathare"	"8afccaf"	"3A"	1	208	1		243	44	0	5	3	3	1	""	1	1	0	0	1	0	1	0	0	""	600	600		400						30			20		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	300	3	250	400	"4"	0	0	0	1	0	0	0	0	0	0	""	300	2018	4	20	1	""	2500	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	500	32	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	"1 3"	1	0	1	0	0	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	500	5	4	2	"1"	1	0	0	0	0	0	0	0	0	0	0							"1 6"	1	0	0	0	0	1	0	0	0	0	0	"1 6"	1	0	0	0	0	1	0	0	0	0	0	0	18000	5000				2	0	0	8	0	2	1921	105	208	.065	0	890	0	500	0	""	2671	"7"	0	0	0	0	0	0	0	0	1	0	0	0	0	"1 6"	1	0	0	0	0	1	0	0	0	""	5	""	156	0	0	0	0	0	0	4	4	4	2	100	6000	0	0	3	6	5	6																0	3	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		3250	1	1	1	4	3	4	3	4	3658	200	0	200	600	300	900	""	3878	1	4441	"uuid:db3ff83b-552d-44be-821b-a9d924843662"	1905070922	"uuid:db3ff83b-552d-44be-821b-a9d924843662"
