submissiondate	today	tabletid	duration	a_area	respondent_id	a_village	a_agree	durationintro	a_consent	a_comment	durationconsent	b_educ	b_male	b_residents	b_children	d_maincooking	d_mainlighting	cz1	d_anycharcoal	d_anykerosene	d_anyfirewood	d_anylpg	d_anycandles	d_anysolar	d_anyelec	d_anyphone	d_anyfree	cz2	d_charcoalbuy	d_charcoaluse	d_charcoalfree	d_kerosenebuy	d_kerosenefree	d_firewoodbuy	d_firewoodfree	d_lpgbuy	d_lpgfree	d_candlesbuy	d_candlesfree	d_solarbuy	d_elecbuy	d_phonebuy	c_charcoalfreq	c_charcoalseller	c_charcoalseller_2	c_charcoalseller_3	c_charcoalseller_4	c_charcoalseller_5	c_charcoalseller_6	c_charcoalseller_7	c_charcoalseller_12	c_charcoalseller_8	c_charcoalseller_9	c_charcoalseller_11	c_charcoalseller_13	c_charcoalseller_97	c_charcoalseller_96	c_charcoalseller_other	c_charcoalbought	c_charcoalbought_2	c_charcoalbought_3	c_charcoalbought_4	c_charcoalbought_5	c_charcoalbought_6	c_charcoalbought_7	c_charcoalbought_12	c_charcoalbought_8	c_charcoalbought_9	c_charcoalbought_11	c_charcoalbought_13	c_charcoalbought_97	c_charcoalbought_96	c_charcoalkes	c_charcoalunits	c_charcoalow	c_charcoalhigh	c_buymore	c_buymore_1	c_buymore_2	c_buymore_3	c_buymore_4	c_buymore_5	c_buymore_6	c_buymore_7	c_buymore_8	c_buymore_97	c_buymore_96	c_buymoreother	c_cookstoveprice	c_cookstoveyear	c_cookstovemonth	c_newcookstovewhen	c_newcookstovebuy	c_comment	b_rent	b_occupationself	b_occupationself_96	b_occupationself_1	b_occupationself_7	b_occupationself_33	b_occupationself_81	b_occupationself_82	b_occupationself_83	b_occupationself_84	b_occupationself_8	b_occupationself_9	b_occupationself_10	b_occupationself_32	b_occupationself_11	b_occupationself_12	b_occupationself_13	b_occupationself_14	b_occupationself_15	b_occupationself_16	b_occupationself_17	b_occupationself_18	b_occupationself_19	b_occupationself_199	b_occupationself_20	b_occupationself_21	b_occupationself_22	b_occupationself_23	b_occupationself_71	b_occupationself_72	b_occupationself_73	b_occupationself_74	b_occupationself_75	b_occupationself_79	b_occupationself_24	b_occupationself_25	b_occupationself_26	b_occupationself_27	b_occupationself_28	b_occupationself_29	b_occupationself_30	b_occupationself_31	b_occupationself_2	b_occupationself_3	b_occupationself_4	b_occupationself_5	b_occupationself_6	b_occupationself_61	b_occupationself_99	b_occupationself_50	b_occupationself_97	b_incomeself	b_occupationothers	b_occupationothers_96	b_occupationothers_1	b_occupationothers_7	b_occupationothers_33	b_occupationothers_81	b_occupationothers_82	b_occupationothers_83	b_occupationothers_84	b_occupationothers_8	b_occupationothers_9	b_occupationothers_10	b_occupationothers_32	b_occupationothers_11	b_occupationothers_12	b_occupationothers_13	b_occupationothers_14	b_occupationothers_15	b_occupationothers_16	b_occupationothers_17	b_occupationothers_18	b_occupationothers_19	b_occupationothers_199	b_occupationothers_20	b_occupationothers_21	b_occupationothers_22	b_occupationothers_23	b_occupationothers_71	b_occupationothers_72	b_occupationothers_73	b_occupationothers_74	b_occupationothers_75	b_occupationothers_79	b_occupationothers_24	b_occupationothers_25	b_occupationothers_26	b_occupationothers_27	b_occupationothers_28	b_occupationothers_29	b_occupationothers_30	b_occupationothers_31	b_occupationothers_2	b_occupationothers_3	b_occupationothers_4	b_occupationothers_5	b_occupationothers_6	b_occupationothers_61	b_occupationothers_99	b_occupationothers_50	b_occupationothers_97	b_incomeothers	b_bigpurchase	b_bigpurchase_0	b_bigpurchase_1	b_bigpurchase_11	b_bigpurchase_2	b_bigpurchase_31	b_bigpurchase_32	b_bigpurchase_33	b_bigpurchase_4	b_bigpurchase_5	b_bigpurchase_6	b_bigpurchase_7	b_bigpurchase_8	b_bigpurchase_96	b_bigpurchase_97	g1a	g1a2	g1b	g1b_1	g1b_2	g1b_3	g1b_96	g1c	g1d	g1d_1	g1d_2	g1d_3	g1d_4	g1d_5	g1d_6	g1d_96	g1e	g1e_1	g1e_2	g1e_3	g1e_4	g1e_5	g1e_6	g1e_96	g1f	g1g1	g1g	g1h	g1i	g2d	g2d_1	g2d_2	g2d_3	g2d_4	g2d_5	g2d_6	g2d_7	g2d_8	g2d_9	g2d_10	g2d_97	g2g	g2g_1	g2g_2	g2g_3	g2g_4	g2g_97	g2h	g2h_1	g2h_2	g2h_3	g2h_4	g2h_5	g2h_6	g2h_7	g2h_8	g2h_9	g2h_10	g2h_97	g2i	g2i_1	g2i_2	g2i_3	g2i_4	g2i_5	g2i_6	g2i_7	g2i_8	g2i_9	g2i_10	g2i_97	g2a	g2b	g2b2	g2c	g2e	g2f	d_attributes_easy	d_attributes_taste	d_attributes_smoke	d_attributes_cheap	d_attributes_save	d_attributes_looks	durationsurvey	math1	math2	math3	math4	math5	math6	math7	math8	comment_math	durationmath	d_awareness	d_awareness_0	d_awareness_20	d_awareness_21	d_awareness_22	d_awareness_3	d_awareness_4	d_awareness_5	d_awareness_6	d_awareness_7	d_awareness_8	d_awareness_9	d_awareness_10	d_awareness_97	d_bestthings	d_bestthings_1	d_bestthings_2	d_bestthings_3	d_bestthings_4	d_bestthings_5	d_bestthings_6	d_bestthings_7	d_bestthings_97	d_bestthings_99	d_otherthings	d_taste	d_tastetext	d_jikokoalast	d2_cough_resp	d2_breath_resp	d2_hours_resp	d2_cough_child	d2_breath_child	d2_hours_child	f_health_trad_adult	f_health_trad_child	f_health_longterm	f_health_jikokoa	f_health_work	d_beanmax	d_beanmin	d_beans1a	d_beans2a	d_beans3a	d_beans4a	d_beans5a	d_beans6a	d_beans7a	d_beans8a	d_beans9a	d_beans10a	d_beans11a	d_beans12a	d_beans13a	d_beans14a	d_beans15a	d_beans16a	d_beans17a	d_beans18a	d_beans19a	d_beans20a	d_beans1	d_beans2	d_beans3	d_beans4	d_beans5	d_beans6	d_beans7	d_beans8	d_beans9	d_beans10	d_beans11	d_beans12	d_beans13	d_beans14	d_beans15	d_beans16	d_beans17	d_beans18	d_beans19	d_beans20	d_beanstotal	beans_no20	durationbeliefs	prac_decisions1	prac_decisions2	prac_decisions3	decisions1	decisions2	decisions3	decisions4	decisions5	durationeffort	g_invest	g_outcome	fixed	win	totallose	totalwin	comment_risk	durationrisk	numbersame	durationtotal	instanceid	formdef_version	key
"May 2, 2019 4:30:40 PM"	"May 2, 2019"	"14:dd:a9:46:e4:16"	6644	"Mathare"	"677873d"	"Area1"	1	96	1	""	809	32	0	5	3	3	1	""	1	1	0	0	0	0	1	0	0	""	700	700		300									75		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	50	100	"2"	0	1	0	0	0	0	0	0	0	0	""	500	2014	98	52	0	""	1500	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	"15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"96"	0	0	0	1	1	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	3	-999	5	5	1	""												"1"	1	0	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	400			0			2	4	0	3	3	0	2737	105	108	61750	8.304717	0	0	0	0	""	3355	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	5	""	260	0	0	0	0	0	0	1	1	1	2	200	20000	0	4	0	4	0	4	0	4	0	0	0	0	0	0	0	0	4					4	0	4	0	4	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	20		4410	8	10	8	8	10	8	9	10	5313	200	0	200	600	300	900	""	5635	1	6137	"uuid:5d9120f6-662b-461d-b80c-e4240f93e4ec"	1904300329	"uuid:5d9120f6-662b-461d-b80c-e4240f93e4ec"
"May 2, 2019 4:30:51 PM"	"May 2, 2019"	"14:dd:a9:46:e4:16"	4993	"Mathare"	"ac61dd5"	"Area1"	1	25	1	""	911	42	0	5	3	3	1	""	1	0	0	0	1	0	1	0	0	""	490	350								50			100		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	70	1	50	100	"2 8 97"	0	1	0	0	0	0	0	1	1	0	""	200	2018	12	4	2	""	2500	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	"8"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	"96"	0	0	0	1	1	"96"	0	0	0	0	0	0	1	"1 3"	1	0	1	0	0	0	0	2	200	5	5	1	""												"1"	1	0	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0	"6"	0	0	0	0	0	1	0	0	0	0	0	0			0			1	0	2	3	6	0	2500	105	208	0	0	0	0	0	0	""	3011	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	156	1	1	0	1	1	0	4	4	4	4	0	10000	0	2	0	3	0	5	0	1	9													2	0	3	0	5	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	20		3596	4	14	16	4	14	16	18	21	4277	100	1	300	300	400	700	""	4483	1	4969	"uuid:35533b88-8f32-47bd-8fe5-c16c1a9a49c1"	1904300329	"uuid:35533b88-8f32-47bd-8fe5-c16c1a9a49c1"
"May 2, 2019 4:30:52 PM"	"May 2, 2019"	"14:dd:a9:46:e4:16"	5114	"Mathare"	"38f2c59"	"Area1"	1	46	1	""	631	3	0	6	4	3	1	""	1	0	0	0	0	0	1	0	0	""	450	450											100		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	2	80	80	"97"	0	0	0	0	0	0	0	0	1	0	"When cooking cereals"	350	2018	98	28	1	""	400	"19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	"79"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	"3"	0	0	1	0	0	"3"	0	0	1	0	0	0	0	"3"	0	0	1	0	0	0	0	2	-999	5	2	2	"97"	0	0	0	0	0	0	0	0	0	0	1	""						"1 8"	1	0	0	0	0	0	0	1	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	500	400	0			1500	2	2	2	6	0	0	1870	105	208	1011.75	0	1665	2210	0	0	"0"	2298	"3 9"	0	0	0	0	1	0	0	0	0	0	1	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3	""	156	1	1	0	1	0	0	2	1	1	3	40	2500	0	13	7																			13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2799	4	9	7	7	4	3	1	3	3188	300	1	100	900	200	1100	""	3344	1	3555	"uuid:637c74b2-be78-4fd4-86ab-687a55dcbe96"	1904300329	"uuid:637c74b2-be78-4fd4-86ab-687a55dcbe96"
"May 2, 2019 4:31:02 PM"	"May 2, 2019"	"14:dd:a9:46:e4:16"	4579	"Mathare"	"e214ec9"	"Area1"	1	67	1	""	551	42	0	2	0	3	6	""	1	0	0	0	1	1	0	0	0	""	350	100								50		0			3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	30	150	"2"	0	1	0	0	0	0	0	0	0	0	""	400	2018	3	8	1	""	2000	"13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	"21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	"6 8"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	"3"	0	0	1	0	0	"3"	0	0	1	0	0	0	0	"96"	0	0	0	0	0	0	1	1	500	4	2	4	"97"	0	0	0	0	0	0	0	0	0	0	1	""						""												"2"	0	1	0	0	0	0	0	0	0	0	0	500	1200	1000			400	0	2	2	1	3	4	551	105	208	1011.75	0	0	0	0	0	""	551	"3 9"	0	0	0	0	1	0	0	0	0	0	1	0	0	"1"	1	0	0	0	0	0	0	0	0	""	3	""	104	0	0	0				2	2	2	3	50	6000	0	0	20	0	0	0																0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		551	18	20	16	12	15	21	14	11	551	200	1	200	600	300	900	""	551	2	551	"uuid:8924d7c2-d574-4e54-b06f-aa591af1b258"	1904300329	"uuid:8924d7c2-d574-4e54-b06f-aa591af1b258"
"May 2, 2019 6:14:55 PM"	"May 2, 2019"	"3.55532E+14"	3914	"Dandora"	"d3382a3"	"KitareA"	1	78	1	""	110	37	0	5	3	3	1	""	1	1	1	0	1	0	1	0	0	""	490	490		350		250				50			0		2	"97"	0	0	0	0	0	0	0	0	0	0	0	1	0	""	"97"	0	0	0	0	0	0	0	0	0	0	0	1	0	100	1	60	100	"6 8"	0	0	0	0	0	1	0	1	0	0	""	500	2016	98	0	1	""	-777	"1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	"3"	0	0	1	0	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	2	-999	5	5	5	""												"2"	0	1	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	1000	-99	-99				2	1	2	3	2	2	1383	105	208	123.5	2094	3330	-999	-999	-999	""	1854	"3 9"	0	0	0	0	1	0	0	0	0	0	1	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	104	1	0	24	1	0	2	4	3	4	5	200	12775	0	1	0	1	1	1	2	1	3	0	4	6										1	0	1	1	1	2	1	3	0	4	6	0	0	0	0	0	0	0	0	0	20		2544	12	5	19	19	18	12	9	5	3387	100	0	300	300	400	700	""	3663	1	3912	"uuid:c8310eb8-b327-4e2a-aa8b-7916b8c60025"	1904300329	"uuid:c8310eb8-b327-4e2a-aa8b-7916b8c60025"
"May 2, 2019 6:14:56 PM"	"May 2, 2019"	"3.55532E+14"	4103	"Dandora"	"707a2b9"	"KitareA"	1	23	1	""	74	44	0	6	2	3	1	""	1	1	1	0	1	0	1	0	0	""	700	700		210		350				10			50		2	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	80	100	"2"	0	1	0	0	0	0	0	0	0	0	""	400	2017	4	24	1	""	2700	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	"3"	0	0	1	0	1	"6"	0	0	0	0	0	1	0	"1"	1	0	0	0	0	0	0	2	2000	5	4	2	"10"	0	0	0	0	0	0	0	0	0	1	0	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	1100	1000	1500	0			2	2	2	1	2	3	1193	105	1680	1011.75	2094	-999	-999	-999	-999	""	2048	"6"	0	0	0	0	0	0	0	1	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	""	5	""	156	1	1	48	0	0	0	4	4	5	5	500	18250	0	2	2	0	0	0	0	0	2	2	2	2	2	3	3	0						2	2	0	0	0	0	0	2	2	2	2	2	3	3	0	0	0	0	0	0	20		2722	21	12	20	20	4	21	12	12	3569	200	1	200	600	300	900	""	3846	1	4101	"uuid:3f2fd3d9-6837-42af-bd1d-54191ec3de18"	1904300329	"uuid:3f2fd3d9-6837-42af-bd1d-54191ec3de18"
"May 2, 2019 6:14:57 PM"	"May 2, 2019"	"3.55532E+14"	3373	"Dandora"	"d9f3a22"	"KitareA"	1	34	1	""	64	36	0	4	2	3	1	""	1	1	0	0	1	0	1	0	0	""	350	350		150						30			150		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	50	100	"5 8"	0	0	0	0	1	0	0	1	0	0	""	350	2016	98	0	2	""	3000	"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	"72"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"6"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	"3"	0	0	1	0	0	"6"	0	0	0	0	0	1	0	"3"	0	0	1	0	0	0	0	2	-999	5	5	5	"6"	0	0	0	0	0	1	0	0	0	0	0	""						"6 10"	0	0	0	0	0	1	0	0	0	1	0	"1"	1	0	0	0	0	0	0	0	0	0	0	0	200	1500				2	1	1	6	1	1	1250	105	208	123.5	2094	-999	-999	-999	-999	""	1611	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	104	0	1	24	1	0	5	4	4	3	4	200	9125	0	0	0	1	1	3	3	6	6													0	0	1	1	3	3	6	6	0	0	0	0	0	0	0	0	0	0	0	0	20		2066	10	9	14	14	8	10	9	9	2616	50	0	350	150	450	600	""	2953	1	3371	"uuid:eeb060fb-4d1e-4d26-bafc-cdee86f8f911"	1904300329	"uuid:eeb060fb-4d1e-4d26-bafc-cdee86f8f911"
"May 2, 2019 5:21:31 PM"	"May 2, 2019"	"469401f5e759000f"	3928	"Dandora"	"8129195"	"Kinyago"	1	23	1	""	353	44	0	5	3	3	1	""	1	1	0	0	0	0	1	0	0	""	300	300		180									50		5	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	70	1	70	75	"2"	0	1	0	0	0	0	0	0	0	0	""	300	2018	6	16	1	""	2800	"18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	"0 6 7"	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	"1"	1	0	0	0	1	"6"	0	0	0	0	0	1	0	"96"	0	0	0	0	0	0	1	2	3000	4	4	2	"97"	0	0	0	0	0	0	0	0	0	0	1	""						"1"	1	0	0	0	0	0	0	0	0	0	0	"1"	1	0	0	0	0	0	0	0	0	0	0	500	1200	8000	2000			3	5	2	2	0	0	1883	105	148	1220	10470	1574200	2200	85	750	""	2211	"3 8"	0	0	0	0	1	0	0	0	0	1	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	5	""	260	0	0	0	1	1	3	2	3	3	3	300	4800	0	4	3	8	5																	4	3	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20		2745	3	3	20	3	3	14	19	19	3306	100	0	300	300	400	700	""	3497	1	3925	"uuid:dd47d073-fc9d-4c0f-8a83-7ab9d4ebd03c"	1904300329	"uuid:dd47d073-fc9d-4c0f-8a83-7ab9d4ebd03c"
"May 2, 2019 5:21:32 PM"	"May 2, 2019"	"469401f5e759000f"	2671	"Dandora"	"f7d0650"	"Kinyago"	1	17	1	""	315	34	0	5	3	3	1	""	1	1	0	0	0	0	1	0	0	""	480	350		100									60		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	80	1	70	80	"2 4"	0	1	0	1	0	0	0	0	0	0	""	250	2019	2	20	2	""	2000	"7"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	"79"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	"7"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	"96"	0	0	0	1	1	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	-999	5	4	4	""												"2"	0	1	0	0	0	""												"10"	0	0	0	0	0	0	0	0	0	1	0	500			-99			0	0	6	6	0	0	1287	8	-999	-999	-999	-999	-999	-999	-999	""	1504	"3"	0	0	0	0	1	0	0	0	0	0	0	0	0	"1 4 5"	1	0	0	1	1	0	0	0	0	""	5	""	312	1	0	20	0	0	0	4	3	4	3	100	8000	0	1	3	5	2	3	2	4														1	3	5	2	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20		1818	14	14	16	12	15	16	18	12	1949	100	1	300	300	400	700	""	2438	1	2668	"uuid:3e9b0dfc-bf46-4123-9643-6252ac2a4333"	1904300329	"uuid:3e9b0dfc-bf46-4123-9643-6252ac2a4333"
"May 2, 2019 5:21:33 PM"	"May 2, 2019"	"469401f5e759000f"	3027	"Dandora"	"71152a4"	"Kinyago"	1	16	1	""	209	3	0	5	3	3	1	""	1	1	0	0	1	0	1	0	0	""	400	350		300						50			85		3	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	""	"96"	0	0	0	0	0	0	0	0	0	0	0	0	1	100	1	80	100	"2 8"	0	1	0	0	0	0	0	1	0	0	""	450	2018	3	12	1	""	3500	"96"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	900	"0 7 8"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	"96"	0	0	0	1	0	"96"	0	0	0	0	0	0	1	"96"	0	0	0	0	0	0	1	1	-999	5	4	4	""												"2"	0	1	0	0	0	""												"1"	1	0	0	0	0	0	0	0	0	0	0	300						0	2	5	0	5	0	1285	105	208	-999	-999	-999	-999	-999	-999	""	1496	"6"	0	0	0	0	0	0	0	1	0	0	0	0	0	"1 5"	1	0	0	0	1	0	0	0	0	""	3	""	156	1	0	1	0	0	0	3	3	4	4	0	8500	0	2	2	6	2	5	0	3														2	2	6	2	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	20		1872	9	8	9	12	9	10	10	10	2017	200	0	200	600	300	900	""	2390	1	3025	"uuid:d48ba6ee-995b-41e5-9e03-db698657a929"	1904300329	"uuid:d48ba6ee-995b-41e5-9e03-db698657a929"
